ma_nganh,ten_nganh,to_hop
7580205_02,ĐS tốc độ cao và ĐS đô thị,A01
7580205_02,ĐS tốc độ cao và ĐS đô thị,C01
7580205_02,ĐS tốc độ cao và ĐS đô thị,D01
7580205_02,ĐS tốc độ cao và ĐS đô thị,D07
7580205_02,Kỹ thuật xây dựng công trình Giao thông/ Đường sắt tốc độ cao và đường sắt đô thị,NAN
7580205_02,ĐS tốc độ cao và ĐS đô thị,X06
7580213_01,Kỹ thuật Cấp thoát nước/ Kỹ thuật nước - Môi trường nước,NAN
7580301,Kinh tế xây dựng,A00
7580301,Kinh tế xây dựng,A01
7580301,Kinh tế xây dựng,C01
7580301,Kinh tế xây dựng,D01
7580301,Kinh tế xây dựng,D07
7580301,Kinh tế xây dựng,NAN
7580301,Kinh tế xây dựng,X05
7580301,Kinh tế xây dựng,X06
7580301,Kinh tế xây dựng,X26
7580302_01,Kinh tế và quản lý đô thị,A00
7580302_01,Kinh tế và quản lý đô thị,A01
7580302_01,Kinh tế và quản lý đô thị,C01
7580302_01,Kinh tế và quản lý đô thị,D01
7580302_01,Kinh tế và quản lý đô thị,D07
7580302_01,Quản lý xây dựng/ Kinh tế và quản lý đô thị,NAN
7580302_01,Kinh tế và quản lý đô thị,X05
7580302_01,Kinh tế và quản lý đô thị,X06
7580302_01,Kinh tế và quản lý đô thị,X26
7580302_02,Kinh tế và quản lý BĐS,A00
7580302_02,Kinh tế và quản lý BĐS,A01
7580302_02,Kinh tế và quản lý BĐS,C01
7580302_02,Kinh tế và quản lý BĐS,D01
7580302_02,Kinh tế và quản lý BĐS,D07
7580302_02,Quản lý xây dựng/ Kinh tế và quản lý bất động sản,NAN
7580302_02,Kinh tế và quản lý BĐS,X05
7580302_02,Kinh tế và quản lý BĐS,X06
7580302_02,Kinh tế và quản lý BĐS,X26
7580302_03,"Quản lý hạ tầng, đất đai đô thị",A00
7580302_03,"Quản lý hạ tầng, đất đai đô thị",A01
7580302_03,"Quản lý hạ tầng, đất đai đô thị",C01
7580302_03,"Quản lý hạ tầng, đất đai đô thị",D01
7580302_03,"Quản lý hạ tầng, đất đai đô thị",D07
7580302_03,"Quản lý xây dựng/ Quản lý hạ tầng, đất đai đô thị",NAN
7580302_03,"Quản lý hạ tầng, đất đai đô thị",X05
7580302_03,"Quản lý hạ tầng, đất đai đô thị",X06
7580302_03,"Quản lý hạ tầng, đất đai đô thị",X26
7580302_04,Kiểm toán đầu tư xây dựng,A00
7580302_04,Kiểm toán đầu tư xây dựng,A01
7580302_04,Kiểm toán đầu tư xây dựng,C01
7580302_04,Kiểm toán đầu tư xây dựng,D01
7580302_04,Kiểm toán đầu tư xây dựng,D07
7580302_04,Quản lý xây dựng/ Kiểm toán đầu tư xây dựng,NAN
7580302_04,Kiểm toán đầu tư xây dựng,X05
7580302_04,Kiểm toán đầu tư xây dựng,X06
7580302_04,Kiểm toán đầu tư xây dựng,X26
